comment	twoClass
我的刀快到了……期待我能见到你小饭饭～这是第一次尝试割腕自杀希望能成功，成为最后一次	1
我本着我是个不一样的人去生活，谁知道累了，累的还是我，我死了以后，我等不到，那个天堂，有时我就会绝望，我都能想象我已经跳下去了的画面，好像没有那么可怕，有人会死，带着本来不应该承受的石头跟重力下垂。	0
有要一起死一死的朋友吗？可以联系我。不必在意我为什么离开，我只是想死一死。	1
可我还不会 写遗书。	0
一觉睡醒就离开人世是一种奢侈啊…	0
我想跳楼呀 真的纵身一跃 什么都没有。生命停止了 痛苦也是	1
我准备自杀，遗书都写好了，日子也选好了，你要不要一起？	1
我睡觉梦到我割腕自杀了 会不会真的不远了	1
自己不能自愈，别人也不会救助，那么清醒的妳一直坚信这点，才会对这个世界失望，才会毅然决然的离开，我有何尝不是么，只是还没有妳的勇敢。	0
压抑的喘不过气。一合上眼就浮现过去。眼睛又肿了。太没出息。想要同你一起离开	0
看到他人自杀总是觉得心疼和惋惜，自己的话就觉得我这样的人死一千次都不够，死得再惨一些好了	1
但你想想遗体还是应该无痛的走。	1
想过死，又不敢死，我一直想要的生活我还没做到，我不能死。经常有因为很多事情而会有想杀了世界上每个人的念头，偶尔真的会发疯，疯的忘了意识但我还是没有做过比较不好的事情，内心还是特别善良的吧，我一直都相信自己会有那么的一天我一定能给爱人，家人一个更好的生活，不让他们为了我而受苦受累！	0
饭饭，一起飞	0
摇着摇着我就想哭了，家里住五楼啊，每天下楼往外面一看我就在想“跳下去就没事了吧”，做梦梦到一枪崩了自己的头我第一反应是安心了解脱了，我想不会再有什么半夜的哭喊了不会再有人对别人编造我做了什么事是个什么人了，不会再被自己的亲哥哥说是寄生虫了，让我睡得久一点吧醒来要是不再为人就太好了	1
对什么事情都提不起兴趣 不想讲话不开心 自己一个人的时候总想跳下去 我很害怕啊 我还这么年轻 可是不开心太可怕了 我妈给我讲了以后我的生活会有多好 我有好的家庭 有爱我的家人 有好的工作 可是我却对一切提不起兴趣 头疼 吃不下 口渴 胃疼 失眠 甚至和人讲话都累	1
恶心可以 别说出来让我知道啊？ 搞得我恶心的想死 本来还觉得活着一个人佛系点熬一辈子就好了。 现在你们的恶心真的搞得我想赶紧去死算了	0
有谁真正想死的、我们一起啊、仅限女生、我熬不下去了	1
吃早饭的时候想找条河跳下去，开车的时候想找条河跳下去，爬楼梯的时候想找条河跳下去，相亲的时候想找条河跳下去，可是我的生活很顺利啊，我为什么这么消极	1
以前看新闻看到有人自杀也会和别人一样的想法死都不怕为什么怕活着现在看到别人自杀都会很难受觉得很可怜也很羡慕，以前再难受都会想到一件两件哪怕是很小的事情都可以支持自己活下去都能振作起来现在我真的365天每天都想自杀太恨自己太难熬了	0
明天要去见医生了。我不知道该怎么告诉他。我没有遵医嘱。情况变得很差。自杀念头很重。但是不想住院。我不知道该怎么说。好痛苦。好累。头很痛。想撞墙	0
今天看到一则新闻说，有一个女孩子跳楼了，抑郁三年，我想她一定很绝望，那天我做梦时，梦到了我自杀，梦里的我如她一样，很难受，死了，但是醒来发现居然是梦，好可惜	1
嘿走饭，我又割腕了，很疼很疼，但我更难过的是我还没死，我的小狗丢了，我唯一倾诉的对象都没有了，你说我该怎么办呢，继续熬吗，熬不下去了	1
我还有些宠物，很担心烧炭会不会影响到它们，也担心没有我它们还能不能好好活	1
生活不易 想去死一死	0
走路 听歌 睡觉 吃饭 不管做什么我都觉得它们在催我去死一死 可是好像有什么再把我拉起来让我浑浑噩噩的去活 活得难看也罢 我妈也只是想让我好好的活着 起码在她活着的时候我要活着 如果我可以在梦里死去该多好 不是我自己要去死 没有人会怪我 要是病死也好 不要久病 我妈妈会被拖累 我这辈子欠你太多	0
很想得一场无法治愈的疾病或者被意外车祸离开这个世界。我很开心，有许多快乐的时光，很多时候都在笑，很灿烂很阳光，对未来也有向往，想象过以后的自己，可我…也一直都在希望自己离开。不敢自杀，怕我是那个主动让爸妈伤心的人，只有意外才不会让他们感到更难过。我祈求…	0
饭，在百度贴吧的看到很多人，让我们去死，真的这么多余吗？其实我真的很想死啊	0
那个华山跳崖的男子应该是真的痛苦到不怕疼了吧，我也不想活着，可是又怕死的疼	1
一氧化碳中毒，烧炭	1
饭饭，我也是觉得活着真的太辛苦了，你在另外的世界有没有好一些，有时候觉得很佩服你，而我有时候连去死一死的勇气都没有，但是又对生活真的好绝望	0
饭饭，这次我离开了就别让我活着回来吧，我想死的舒服一点，快一点，别折磨我，我的器官还能捐献，火化之后的骨灰就撒到大地上吧，我愿守护着大地，再无来世	1
哎，心情沉于低谷，好想闭气不让心再跳动。求助于任何人都是无果，包括父母都是不可信不靠谱。没人能够理解我的痛楚和心境，我想摆脱离开，是多么艰难困苦啊！上天，为什么对我的考验这么多，这么苦难，我都快撑不住了，你再不赐予任何点点希望，我将沉沦于大海，将这生命献出。求不多，唯有情感和心动	0
烧炭是让你在睡梦中缺氧死去，痛苦感最小	1
要是我可以住宿舍多好 这样或许就可以烧炭自杀了	1
废话多说无益，诚如我妈所说，这世间唯靠的住的只有自己，抢不抢救都得靠我自救，坠入深海最后也是会浮出水面，好好祈祷自己尸身不会腐烂被人打捞吧	0
我害怕的想哭 害怕的颤抖 如果事情越来越严重 真的可怕 一点点安全感都没有了 对这个世界感到绝望 ??? 打电话给他被骂 我的心在颤抖 谁也靠不住了	0
饭饭 怎么办啊 原来想死的想法只是偶尔的 最近每天都有这个想法 并且很强烈 也已经在想什么样的死法比较好怎样的方式比较妥善 要不要写遗书 遗书里要不要写我最近的压力	1
我总是抑制不住自己的心因为太痛了脑子也好累我想找到工作我会不会好一点，饭饭我好后悔，今天姐姐问我工作找不到还有什么去路，我跟她说我去死就好了，对不起对不起，控制不住自己的手打出了那样的话出来，我不是要让她们跟我一起难受的意思，饭饭你是明白我的吗，是明白的吧	0
我断药一年多了，当时说每次晚上吃了就想睡觉，后来才知道里面有安眠药的 成分，我就不想再吃了，断药那段时间真的好痛苦，睡不着脾气也不好，天天哭都觉得我矫情最后在操场上没控制住哭了，本来以为告诉班主任他会理解我，可是他们把我妈叫来学校想让我休学，我是哭着回去的我一辈子都会记得	0
割腿上比割手腕出血要多哎 我觉得可能是我腿太肥了 所以一割就会有很多血	1
我没有你勇敢 我自杀过一次不敢第二次了 但是我真的好崩溃 想离开这个世界	0
吸稀有气体自杀是不是不痛苦啊	1
走饭，我喜欢上一个女孩子，特别喜欢觉得这辈子注定的那种，她和我说：当我死了吧。好想知道死了有另外一个世界么，如果有，可以托梦给我么？走饭，好想见见你，我是一个觉得做什么都无趣，觉得这个世界毫无意义的人，怎么办，我是不是也应该去死一死	0
好想离开这个世界，活着太痛苦了	0
今天又去拿药了 责任太大 牵挂太多 我也想去死一死 又忍不住去医院 是不是贱啊	0
所以就去死一死，没有什么重要的原因。	0
顶楼的风真大 我还是害怕的 自杀也绝对不会选择跳楼	1
饭饭，这会在上着班，嗯，不过觉得还是想离开，离开这里，离开这个世界。做着重复的工作，拿着微薄的薪水，现实里，笑的没心没肺。内里，面无表情。。。不过，我还是要活下去哇，还没看到以后的日子呢，还有很多想做的事情。所以，不能离开哇！(σ???)σ	0
凭什么，我要这么痛苦，不公平，虽然这个世界没有不公平，我不甘心，走之前，我要带着所有人一起走	0
想和你在夏天闷热的夜晚散步 然后一起喝酒或者坐在一起沉默 最后一起离开 可你是谁呢	0
抑郁，很烦，怕心里那根弦崩掉，想去死一死	0
有挂念的东西真好	0
听说约死？	1
听说安眠药过量死前会特别特别难受 真的好压抑	1
我也是 想去死一死。	0
恨不得自己离开这世界的人，我知道，不是世界放弃了我，也不是我放弃了世界，因为，我们谁都没有拥有过！	0
如果妈妈能找到一个爱她对她好且相伴过完余生的男人，我就可以放心去死了	0
今天又去面试两家公司了，回去的路上一直都在想，我这样活着有什么意义。经过邕江的时候就有种冲动特别想跳下去，我真的很累，我受不了了，我活得比蚂蚁还累	1
你好，很高兴认识你，我在等，等我了无牵挂那天，我也会选择离开这个世界，很开心的去死一死	0
我也丧 也喜欢来这里看感同身受的人们 但我和你们思路不一样 死亡对我来说是一种幸运的选择 让我面对不该经受的坎坷和磨难 大不了我就去死啊 直到我做出决定那天 我都会装作乐观去把自己的路走完 虽然出生在这个世界这个时代不是你的选择 但是既然出生了 与其说尊重父母家庭 不如说我们要尊重生命本身	0
我很胆小 不敢做很多事情 自杀也是一样 我失败了好几次 只是生活 让我继续自杀的念头越来越重	0
晚安	0
还是很痛苦 过不去的还是过不去 快乐堵在外面 怎么都进不来我的心 亏欠我的人太多 可是他们都不知道 痛苦我一个人承担 太难过了 生活里没有什么可期待的了 帅哥不期待 美食不期待 旅游不期待 什么都毫无吸引力了 掉进悬崖了	0
想离开这个世界，可是，我还有很多东西没见过，很多感觉没体会过，我想满足一点了再死	0
我想今天就跳楼啦！	1
我好可怕啊 现在真的想跳下去	1
这世界大概不会好了，愿意陪我一起堕落吗	0
天天在耳边听着想死两个字。我真的也熬不住了。明知道一个是无病呻吟，一个是真的想死...可是就是忍不住的烦，忍不住就想离开，想死。但是现实却又一切是那么美满，让我不能死，不敢死。怕让那些看重我的人伤心难过，我不能自私白发人送黑发人，但是又真的熬不住觉得自己活着就是个过错没活着的意义	0
约个自杀，有吗?	1
有人现在很丧么，要一起丧么	0
扛扛看。我去年国外交换期间发病，一个人在小房子里木僵，两天吃一顿饭，一个月没十句话，脑子里全都是各种声音，什么都做不了，娱乐都不行，自残，自杀未遂一次，不对任何人透露，认定自己会死在国外。后来神棍的是，意外触电被电打了一次，木在地上半天，有点醒了，好歹用飞机把自己搬回来了。	1
大家可不可以一起建个群啊、我也想死、带带我	1
我已经丧在家里三个月了，我真的好想脱离这个世界	0
我觉得是一个人去深山老林，死不死多久死听天命的那种	1
多年后我会不会后悔这一刻没有跳下去	1
我不再渴望长命百岁了，惟愿这世界给我一个逃避的理由，让我心安理得做个懦夫离开这世界。	0
一起死在这歪歪扭扭的世界里吧	1
不是不是 我只是想还完钱再死	1
我都跟他们说我想死了，可是他们只是觉得我在赌气，说气话，是不是真的得我死一死他们才能相信？	0
感觉自己得了抑郁症，想死的念头每天都有，也每天做着白日梦，总想着会有人带我离开这个深渊，带给我快乐与温暖，让我不再害怕明天。所以总是回复着那些和我一样的人，让他们感到温暖，让自己走出来。	0
饭呐，今天李依依跳楼事件你在天堂也关注了吧 ，这就是这个病态的社会，你当初应该也有过无数被当作怪人的场景吧，看吧，人性就是这样，喜好独居的就是怪人，其实独来独往的往往都是最善良的，还是希望人们生而为人，务必善良。[爱你]	0
每天头疼 疼的我想去死	0
其实有那么一批人，很想进入这个世界，只是每个人都是不一样的风景，入口各不相同，所以只能在门外尴尬的试探	0
是不是跳楼不知道，因为我想遗体完整一些。	1
我想，但是没有人一起	1
我到底什么时候才能死武汉约死越快越好	1
我想买晕车药或者是开煤气??	1
恳请大家告诉我如何买到大剂量“那种”药片！！私信我后我会删聊天记录！[心][心]走过路过不要错过！帮我一把胜造七级浮屠！[加油]	1
真的不开心就去死吧 想死的都去死啊 光说有什么用[允悲]	0
有谁想我一样，说着去死然后现在还苟活着？走饭，我试过上吊了，我喜欢那种意识沉沦在无尽黑暗里的感觉，可为什么我没有死在那个阳光明媚的上午？连死我都做不到了吗？我知道的，是我还不够勇敢，我这一生的勇气都要尝试着用来自杀了	1
烧炭失败了，碳红了就感觉呼吸急促，缺氧。	1
好想死啊 看到跳崖的那一瞬间突然想冲过去和他一起跳 回归自然	1
想死三年以上的还是没有死去的有没有?	0
你试过吗 我想跳楼 曾经也想上吊 但想想就难熬	1
我厌倦了这个世界，可是没有勇气离开这个世界，我放不下爸妈放不下妹妹弟弟，我每天在这个房间里不想出去不想接触外面的人，我该怎么办	0
饭，我昨天刷微博看到19岁的女孩跳楼了，内心很难受，如果你见到了她帮我跟她道个歉好吗？告诉她这和并不是她的错，是这个社会没有让她体会到温暖。我现在会在你这条微博下面会陪内心绝望的人说会话，聊聊天。	0
我知道有天我会死 不是因为任何人 不是因为父母对我的爱太过沉重 不是因为太思念她 是我想死 我想逃离这荒诞的世界	0
找个善良点的人我们可以一起看满天繁星什么的然后选择痛苦最轻的方式走，危秋洁那种走法挺美好的，一身后满天繁星，山河永寂，真的挺美的再也不会这么累了，再也不用恐惧了 ???，想好一起走的聊我吧，在你决定的时候	1
成都约自杀的滴滴。。。。	1
毕不了业了 想跳河	1
想死是没错啦，但并不想网上约人一起走。理由很简单，都是等死的人吗，不一定，我不相信你。	0
跪求大家不痛苦的自杀方法 跳楼应该不错 不过影响太不好了	1
有想去死的吗 是真正绝望想死的 不是玩玩的 一起吧 地址广州	1
喝了酒跳楼是不是好点	1
救救我吧别扔掉我我求求你了	0
想跟着一起去，却不忍心让父母再承受这样的痛苦，我要怎么办，怎么会变成这样，为什么	0
我不想跳楼想无痛死	1
今天凌晨四点多，我在这里认识的一个微博网友割腕自杀了，我和他在微信上聊了两个多月，本以为他好转了，可是我还是没有留住他。希望看到这个评论的朋友们真的冷静一下，生命真的只有一次。他的离世让我很愧疚很自责，如果我再早一点发现就好了，我想对他说，我会想他的，永远不会忘记[蜡烛]	0
走饭，每个人都是有血有肉的，都会有疼痛的感觉，我很难过 但是又怕说了什么话伤了父母。很想消失 不去想那么多， 让那些烦人的事 烦人的人 都见鬼去吧。我不能控制他们，但是我可以掌控我自己。 想要去死一死，想要消失。	0
一起吧，太痛苦了，让我们去死吧，换个人生重新再来一次	1
"饭饭，我昨晚割腕失败了。唉好难受想死都割不对地方，真的好痛啊。顺便问问有没有一起约烧炭的 <a  alt=""http://t.cn/RgmkxWr"" suda-uatrack=""key=transmit_pic&value=transmit_pic_minicard"" href=""javascript:void(0);"" action-type=""widget_photoview"" action-data=""object_id=1022:230597a17d4901641957ee484c8b4b3f4b2215&pid=a0de4a3dgy1ftig32zf7tj20qo0zk78y&mid=3424883176420210&cid=4264534354953032&short_url=http://t.cn/RgmkxWr"" imagecard=""pid=a0de4a3dgy1ftig32zf7tj20qo0zk78y""><i class=""W_ficon ficon_cd_img WBficon"">?</i>评论配图</a>"	1
有一天，我上吊死了，别人以为我在荡秋千。	0
我想办个证，我就可以请很长时间的假，那天我真活不下去了，我就背着书包徒步旅行中国。	0
好久没来了，吃药以后状态还不错，明天出国了今晚吃了两粒安定还是不困，我觉得我哭一哭可能会好些但是一直忍着，怕一滴眼泪就出来就控制不住了，想想还有三个月剂量的药和我一起去好像也有点安心了	0
人都是被人逼得，我也一直很累。离开这个世界自然很简单。但是，我一直觉得，只要活着，还是会有希望。	0
以前高中时在上课，突然听见一声巨响想去看，老师阻止了。后来了解到学生从5楼跳下来脑浆子都出来了，还好当时没看。当时不理解那学生的举动，总以为好死不如赖活。但现在，痛苦越来越深，觉得死是一种解脱，但我不会选择跳楼，在游乐场玩过类似跳楼的游戏有点恐惧，那样死不太好，还不如投湖比较安静	1
为什么世界末日是个骗子啊，大家一起消失真的是最好的结局了	0
好想死啊 我想喝酒加头孢加安眠药 然后跳楼	1
如果你决心够的话，一起走	1
烧炭感觉不会那么痛苦，可是又怕有窒息感。。	1
我喜欢很多东西lol追星但是渐渐连比赛都不想看所有都懒得去做了感觉心里发慌失去了所有的兴趣真的很可怕	0
饭很久没来了，羡慕你离开了这个世界。	0
想带上我妈一起死，她看起来好像跟我一样活着很累	1
要是能在你面前跳楼多好。那样你或许还会记得我。奶瓶也三个月大 但愿陪她长大的时间够我撑到不再想死。白天各种可以让我开心的事到了晚上打回原形。	1
以前你的世界全是那个人他离开了以后就感觉像被全世界抛弃了一样。每天感觉自己好没用除了哭就是哭。有时候也想过离开这个世界	0
昨天没死成，今天把自己灌醉就有勇气上吊了	1
我很想结束，我要是死了，背后会有多少闲言碎语，我的家人要承担多少。说不定跳个楼，尸体都能在朋友圈疯传，我不想这样。我尽量让自己痛，保持清醒，就算伤害自己，我也要再撑一下，人间不值得，我不能伤害他们了。	0
我的大人们总是记不住他们对我的伤害 不管是语言上还是精神上抑或是打过我 太难过 每一天都很煎熬 前天跑去天台吹风 很想跳下去算了 可是害怕死后被人议论 说到底我还是个胆小鬼吧 我一脚踏空 我就要飞起来了 我向上是迷茫 我向下 这世界是空荡荡	1
有江西的吗 一起走好不好 一个人还是有点怕	1
我也想去死一死，可我要担心我死后别人会怎么议论我和我的父母，我爸妈要怎样生活下去，我没有勇气，不行，我要撑住，人活着总归要死的，早晚的问题。。。对。。。撑住活下去。。没人会听我说这些话，他们不理解，只会说我闲得想太多，所以我对谁都不会再讲这些话了，没人懂我，只能在这说说我的内心话	0
我以为你是想和我一起的呢，现在不是暑假了么？要不要一起呢，烧炭就最没痛苦	1
丧得一匹啊 成宿成宿的失眠 想去死的心情与对亲人的留念不停地拉扯 等真的不行的时候就有勇气去死一死了吧	0
我该睡了吧，该睡了吧	0
大醉真好 起床送人最后一程了 人死随风散	0
自杀了……但是失败了……今天被别人问，你胳膊上怎么这么多伤……我能怎么说？因为我有病？控制不住的想割死自己吗……	1
真的越来越想离开。小时候会想死一死看谁在乎我，不明白死了就回不来了。现在想真的没什么比死更解脱吧...	0
要不要一起	1
饭饭，是什么给予了你勇气离开了这个世界，我也想，我想杀死我自己	0
饭饭晚上好啊 我又回来了 抱歉啊 到现在都没有关注你 我怕认识的人看到关注列表然后收到不走心的关心 现在是七月啦 生活依然很烂 我还是想去死 什么都没变 哦对 我这段时间读了个夺宿的小说 朋友推荐的 她说很好看 我却一点都搞不懂 为什么要和那个灵魂争夺身体的控制权	0
北京有姑娘想烧炭吗	1
